ds,y
2015-11-22,103
2015-11-23,157
2015-11-24,156
2015-11-25,142
2015-11-26,163
2015-11-27,121
2015-11-28,116
2015-11-29,103
2015-11-30,155
2015-12-01,176
2015-12-02,160
2015-12-03,152
2015-12-04,109
2015-12-05,97
2015-12-06,111
2015-12-07,150
2015-12-08,143
2015-12-09,140
2015-12-10,141
2015-12-11,124
2015-12-12,108
2015-12-13,92
2015-12-14,123
2015-12-15,145
2015-12-16,139
2015-12-17,138
2015-12-18,130
2015-12-19,93
2015-12-20,91
2015-12-21,132
2015-12-22,120
2015-12-23,136
2015-12-24,85
2015-12-25,109
2015-12-26,119
2015-12-27,109
2015-12-28,135
2015-12-29,141
2015-12-30,128
2015-12-31,107
2016-01-01,163
2016-01-02,96
2016-01-03,96
2016-01-04,162
2016-01-05,134
2016-01-06,102
2016-01-07,156
2016-01-08,126
2016-01-09,115
2016-01-10,92
2016-01-11,155
2016-01-12,154
2016-01-13,152
2016-01-14,151
2016-01-15,132
2016-01-16,102
2016-01-17,114
2016-01-18,123
2016-01-19,138
2016-01-20,135
2016-01-21,141
2016-01-22,118
2016-01-23,90
2016-01-24,105
2016-01-25,142
2016-01-26,153
2016-01-27,154
2016-01-28,119
2016-01-29,136
2016-01-30,102
2016-01-31,104
2016-02-01,156
2016-02-02,151
2016-02-03,164
2016-02-04,134
2016-02-05,134
2016-02-06,113
2016-02-07,127
2016-02-08,154
2016-02-09,153
2016-02-10,151
2016-02-11,142
2016-02-12,107
2016-02-13,109
2016-02-14,105
2016-02-15,146
2016-02-16,134
2016-02-17,141
2016-02-18,133
2016-02-19,125
2016-02-20,102
2016-02-21,103
2016-02-22,152
2016-02-23,145
2016-02-24,141
2016-02-25,130
2016-02-26,137
2016-02-27,92
2016-02-28,106
2016-02-29,138
2016-03-01,139
2016-03-02,129
2016-03-03,145
2016-03-04,131
2016-03-05,99
2016-03-06,99
2016-03-07,141
2016-03-08,145
2016-03-09,120
2016-03-10,134
2016-03-11,99
2016-03-12,107
2016-03-13,109
2016-03-14,141
2016-03-15,146
2016-03-16,129
2016-03-17,119
2016-03-18,126
2016-03-19,106
2016-03-20,104
2016-03-21,150
2016-03-22,150
2016-03-23,125
2016-03-24,129
2016-03-25,98
2016-03-26,110
2016-03-27,92
2016-03-28,101
2016-03-29,141
2016-03-30,159
2016-03-31,159
2016-04-01,129
2016-04-02,95
2016-04-03,119
2016-04-04,141
2016-04-05,148
2016-04-06,128
2016-04-07,157
2016-04-08,122
2016-04-09,84
2016-04-10,81
2016-04-11,145
2016-04-12,138
2016-04-13,135
2016-04-14,135
2016-04-15,110
2016-04-16,89
2016-04-17,84
2016-04-18,123
2016-04-19,148
2016-04-20,134
2016-04-21,140
2016-04-22,119
2016-04-23,103
2016-04-24,106
2016-04-25,140
2016-04-26,142
2016-04-27,141
2016-04-28,127
2016-04-29,117
2016-04-30,104
2016-05-01,117
2016-05-02,125
2016-05-03,138
2016-05-04,145
2016-05-05,121
2016-05-06,115
2016-05-07,116
2016-05-08,106
2016-05-09,138
2016-05-10,161
2016-05-11,151
2016-05-12,158
2016-05-13,115
2016-05-14,99
2016-05-15,120
2016-05-16,136
2016-05-17,153
2016-05-18,155
2016-05-19,141
2016-05-20,123
2016-05-21,102
2016-05-22,95
2016-05-23,127
2016-05-24,134
2016-05-25,144
2016-05-26,151
2016-05-27,116
2016-05-28,107
2016-05-29,118
2016-05-30,167
2016-05-31,136
2016-06-01,148
2016-06-02,121
2016-06-03,120
2016-06-04,93
2016-06-05,88
2016-06-06,103
2016-06-07,146
2016-06-08,146
2016-06-09,134
2016-06-10,126
2016-06-11,106
2016-06-12,97
2016-06-13,136
2016-06-14,151
2016-06-15,135
2016-06-16,147
2016-06-17,133
2016-06-18,109
2016-06-19,100
2016-06-20,131
2016-06-21,119
2016-06-22,144
2016-06-23,118
2016-06-24,98
2016-06-25,158
2016-06-26,100
2016-06-27,138
2016-06-28,126
2016-06-29,142
2016-06-30,124
2016-07-01,111
2016-07-02,104
2016-07-03,110
2016-07-04,121
2016-07-05,110
2016-07-06,129
2016-07-07,117
2016-07-08,97
2016-07-09,91
2016-07-10,105
